,word,audio_complexity,position,sentence,start_time,end_time,set_manually,process,translation,word_occurrence,word_complexity,sentence_complexity,word_importance,sentence_group,speed,speech_volume,ambient_volume,occurrence,display
0,holy,1.0,1,Holy shit!,,,False,True,Heilige,0.0,0.4,0.3712614148030891,0.553466796875,1,0.6161448629429074,0.5,0.753430829562913,0.0,False
1,shit,1.0,2,Holy shit!,,,False,True,Scheiße,0.0,1.0,0.3712614148030891,0.91375732421875,1,0.6161448629429074,0.5,0.753430829562913,0.0,False
2,we,1.0,1,We are going to hold hearings on Vought and Compound V!,3.88,4.12,False,True,Wir,0.0,0.0,0.6179359568905806,0.41796875,2,0.4062162290005441,0.9883561730384828,0.0,0.0,False
3,are,1.0,2,We are going to hold hearings on Vought and Compound V!,4.12,4.48,False,True,werden,0.0,0.0,0.6179359568905806,0.53955078125,2,0.4062162290005441,0.9883561730384828,0.0,0.0,False
4,going,1.0,3,We are going to hold hearings on Vought and Compound V!,4.48,4.76,False,True,Gehen,0.0,0.2,0.6179359568905806,0.765869140625,2,0.4062162290005441,0.9883561730384828,0.0,0.0,False
5,to,1.0,4,We are going to hold hearings on Vought and Compound V!,4.76,5.02,False,True,zu,0.0,0.0,0.6179359568905806,0.0009765625,2,0.4062162290005441,0.9883561730384828,0.0423310220697218,0.0,False
6,hold,1.0,5,We are going to hold hearings on Vought and Compound V!,5.02,5.28,False,True,abhalten,0.0,0.2,0.6179359568905806,0.729736328125,2,0.4062162290005441,0.9883561730384828,0.0,0.0,False
7,hearings,1.0,6,We are going to hold hearings on Vought and Compound V!,5.28,5.86,False,True,Anhörungen,0.0,0.4,0.6179359568905806,0.9946212768554688,2,0.4062162290005441,0.9883561730384828,0.0,0.0,True
8,on,1.0,7,We are going to hold hearings on Vought and Compound V!,5.86,6.44,False,True,über,0.0,0.2,0.6179359568905806,0.33642578125,2,0.4062162290005441,0.9883561730384828,0.0,0.0,False
9,vought,1.0,8,We are going to hold hearings on Vought and Compound V!,,,False,True,Vought,0.0,1.0,0.6179359568905806,0.9999999357100932,2,0.4062162290005441,0.9883561730384828,0.0,0.0,False
10,and,1.0,9,We are going to hold hearings on Vought and Compound V!,6.76,7.26,False,True,und,0.0,0.0,0.6179359568905806,0.788330078125,2,0.4062162290005441,0.9883561730384828,0.0,0.0,False
11,compound,1.0,10,We are going to hold hearings on Vought and Compound V!,7.26,7.82,False,True,Verbindung,0.0,0.4,0.6179359568905806,0.9998655319213868,2,0.4062162290005441,0.9883561730384828,0.0,0.0,False
12,v,1.0,11,We are going to hold hearings on Vought and Compound V!,7.82,8.2,False,True,V,0.0,0.4,0.6179359568905806,0.9988393783569336,2,0.4062162290005441,0.9883561730384828,0.0,0.0,False
13,i'm,0.41162109375,1,I'm the world's greatest superhero.,,,False,True,Ich bin,0.0,0.0,0.5311477056191941,0.005859375,3,0.4807787077893918,0.5558280348777771,0.0,0.0,False
14,the,0.02294921875,2,I'm the world's greatest superhero.,8.62,8.76,False,True,der,0.0,0.0,0.5311477056191941,0.609619140625,3,0.4807787077893918,0.5558280348777771,0.0,0.0,False
15,world's,0.025390625,3,I'm the world's greatest superhero.,8.76,9.26,False,True,Welt,0.0,0.0,0.5311477056191941,0.00244140625,3,0.4807787077893918,0.5558280348777771,0.0,0.0,False
16,greatest,0.0068359375,4,I'm the world's greatest superhero.,9.26,9.78,False,True,größte,0.0,0.0,0.5311477056191941,0.06640625,3,0.4807787077893918,0.5558280348777771,0.0,0.0,False
17,superhero,0.56689453125,5,I'm the world's greatest superhero.,9.78,10.7,False,True,Superheld,0.0,0.2,0.5311477056191941,0.00390625,3,0.4807787077893918,0.5558280348777771,0.1357386403490258,0.0,False
18,you're,1.0,1,You're my greatest failure.,,,False,True,Du bist,0.0,0.0,0.4790996156012748,0.08154296875,4,0.5996113881475151,0.5409843921661377,0.0,0.0,False
19,my,0.0068359375,2,You're my greatest failure.,11.44,11.58,False,True,mein,0.0,0.0,0.4790996156012748,0.826416015625,4,0.5996113881475151,0.5409843921661377,0.0,0.0,False
20,greatest,0.00244140625,3,You're my greatest failure.,11.58,12.02,False,True,größtes,0.0714285714285714,0.0,0.4790996156012748,0.595947265625,4,0.5996113881475151,0.5409843921661377,0.0,1.0,False
21,failure,0.00732421875,4,You're my greatest failure.,12.02,12.48,False,True,Versagen,0.0,0.4,0.4790996156012748,0.90753173828125,4,0.5996113881475151,0.5409843921661377,0.0582264293841768,0.0,False
22,i,0.0419921875,1,I do like you.,13.26,13.42,False,True,Ich,0.0,0.0,0.448847652424401,0.08740234375,5,0.5102026652253299,0.8058573007583618,0.0467380473200806,0.0,False
23,do,0.0166015625,2,I do like you.,13.42,13.64,False,True,tun,0.0,0.0,0.448847652424401,0.9339599609375,5,0.5102026652253299,0.8058573007583618,0.0,0.0,False
24,like,0.015625,3,I do like you.,13.64,13.98,False,True,mag,0.0,0.2,0.448847652424401,0.972625732421875,5,0.5102026652253299,0.8058573007583618,0.1310383763389202,0.0,False
25,you,0.34814453125,4,I do like you.,13.98,14.24,False,True,dich,0.0,0.0,0.448847652424401,0.959808349609375,5,0.5102026652253299,0.8058573007583618,0.3676745744960236,0.0,False
26,you've,1.0,1,You've got spunk.,,,False,True,Du,0.0,0.0,0.4796485965579972,0.62890625,6,0.2689414213699951,0.6798035502433777,0.4575538098052151,0.0,False
27,got,0.255859375,2,You've got spunk.,14.54,14.88,False,True,hast,0.0,0.0,0.4796485965579972,0.1435546875,6,0.2689414213699951,0.6798035502433777,0.0,0.0,False
28,spunk,0.3485107421875,3,You've got spunk.,14.88,15.54,False,True,Spinner,0.0,1.0,0.4796485965579972,0.21044921875,6,0.2689414213699951,0.6798035502433777,0.0,0.0,True
29,you're,0.0361328125,1,You're gonna be a big help to me.,16.0,16.16,False,True,Du wirst,0.0714285714285714,0.0,0.5732010649230547,0.1904296875,7,0.7629667606351729,0.5113579034805298,0.0,1.0,False
30,gonna,0.2529296875,2,You're gonna be a big help to me.,16.16,16.24,False,True,Wir werden,0.0,1.0,0.5732010649230547,0.21826171875,7,0.7629667606351729,0.5113579034805298,0.0,0.0,False
31,be,0.0048828125,3,You're gonna be a big help to me.,16.24,16.44,False,True,werden,0.0,0.0,0.5732010649230547,0.01611328125,7,0.7629667606351729,0.5113579034805298,0.0,0.0,False
32,a,0.01025390625,4,You're gonna be a big help to me.,16.44,16.58,False,True,eine,0.0,0.0,0.5732010649230547,0.00341796875,7,0.7629667606351729,0.5113579034805298,0.0,0.0,False
33,big,0.01318359375,5,You're gonna be a big help to me.,16.58,16.72,False,True,große,0.0,0.0,0.5732010649230547,0.0224609375,7,0.7629667606351729,0.5113579034805298,0.0,0.0,False
34,help,0.00537109375,6,You're gonna be a big help to me.,16.72,16.96,False,True,Hilfe,0.0,0.2,0.5732010649230547,0.48583984375,7,0.7629667606351729,0.5113579034805298,0.0,0.0,False
35,to,0.00927734375,7,You're gonna be a big help to me.,16.96,17.2,False,True,zu,0.0714285714285714,0.0,0.5732010649230547,0.79296875,7,0.7629667606351729,0.5113579034805298,0.0,1.0,False
36,me,0.00048828125,8,You're gonna be a big help to me.,17.2,17.42,False,True,mir,0.0,0.0,0.5732010649230547,0.0986328125,7,0.7629667606351729,0.5113579034805298,0.0,0.0,False
37,what,0.03857421875,1,What the hell does that mean?,17.88,18.02,False,True,Was,0.0,0.0,0.5068437145618683,0.06103515625,8,0.5677623235383433,0.8787442445755005,0.0,0.0,False
38,the,0.00537109375,2,What the hell does that mean?,18.02,18.14,False,True,zum,0.0714285714285714,0.0,0.5068437145618683,0.009765625,8,0.5677623235383433,0.8787442445755005,0.0,1.0,False
39,hell,0.00146484375,3,What the hell does that mean?,18.14,18.36,False,True,Teufel,0.0,0.6,0.5068437145618683,0.44287109375,8,0.5677623235383433,0.8787442445755005,0.0,0.0,False
40,does,0.00390625,4,What the hell does that mean?,18.36,18.58,False,True,soll,0.0,0.0,0.5068437145618683,0.080078125,8,0.5677623235383433,0.8787442445755005,0.0,0.0,False
41,that,0.00341796875,5,What the hell does that mean?,18.58,18.86,False,True,das,0.0,0.2,0.5068437145618683,0.70361328125,8,0.5677623235383433,0.8787442445755005,0.0,0.0,False
42,mean,0.00146484375,6,What the hell does that mean?,18.86,19.2,False,True,heißen,0.0,0.2,0.5068437145618683,0.01953125,8,0.5677623235383433,0.8787442445755005,0.0,0.0,False
43,that's,1.0,1,That's fucking Lamplighter.,,,False,True,Das ist,0.0,0.0,0.4662922508701116,0.832275390625,9,0.6161448629429074,0.5,0.55587875099471,0.0,False
44,fucking,0.2919921875,2,That's fucking Lamplighter.,,,False,True,verdammt,0.0,0.8,0.4662922508701116,0.810791015625,9,0.6161448629429074,0.5,0.55587875099471,0.0,False
45,lamplighter,1.0,3,That's fucking Lamplighter.,,,False,True,Lamplighter,0.0,1.0,0.4662922508701116,0.9995558261871338,9,0.6161448629429074,0.5,0.55587875099471,0.0,False
46,these,0.675048828125,1,These people are test subjects.,21.34,21.82,False,True,Diese,0.0,0.0,0.4771865852616815,0.593994140625,10,0.3115026876444181,0.986928164958954,0.6807366521530035,0.0,False
47,people,0.01171875,2,These people are test subjects.,21.82,23.42,False,True,Leute,0.0,0.0,0.4771865852616815,0.865234375,10,0.3115026876444181,0.986928164958954,0.0,0.0,False
48,are,1.0,3,These people are test subjects.,23.42,23.64,False,True,sind,0.0714285714285714,0.0,0.4771865852616815,0.58203125,10,0.3115026876444181,0.986928164958954,0.0,1.0,False
49,test,0.0625,4,These people are test subjects.,23.64,23.84,False,True,Testpersonen,0.0,0.2,0.4771865852616815,0.940032958984375,10,0.3115026876444181,0.986928164958954,0.0,0.0,False
50,subjects,0.0029296875,5,These people are test subjects.,23.84,24.24,False,True,Testpersonen,0.0,0.0,0.4771865852616815,0.599853515625,10,0.3115026876444181,0.986928164958954,0.0,0.0,False
51,they're,0.08984375,1,"They're trying to stabilize the V. Anywhere, anytime, you get a solid Supe.",24.46,24.46,False,True,Sie,0.0,0.0,0.7093414338307898,0.86083984375,11,0.6435196801777735,0.946977972984314,0.0,0.0,False
52,trying,0.029296875,2,"They're trying to stabilize the V. Anywhere, anytime, you get a solid Supe.",24.46,24.58,False,True,versuchen,0.0,0.2,0.7093414338307898,0.3486328125,11,0.6435196801777735,0.946977972984314,0.0,0.0,False
53,to,0.0029296875,3,"They're trying to stabilize the V. Anywhere, anytime, you get a solid Supe.",24.58,24.64,False,True,versuchen,0.1428571428571428,0.0,0.7093414338307898,0.9951858520507812,11,0.6435196801777735,0.946977972984314,0.0,2.0,False
54,stabilize,0.02783203125,4,"They're trying to stabilize the V. Anywhere, anytime, you get a solid Supe.",24.64,25.14,False,True,stabilisieren,0.0,1.0,0.7093414338307898,0.00244140625,11,0.6435196801777735,0.946977972984314,0.1011834263790528,0.0,False
55,the,0.36328125,5,"They're trying to stabilize the V. Anywhere, anytime, you get a solid Supe.",25.14,25.4,False,True,das,0.1428571428571428,0.0,0.7093414338307898,0.999746561050415,11,0.6435196801777735,0.946977972984314,0.7654470636152221,2.0,False
56,v,1.0,6,"They're trying to stabilize the V. Anywhere, anytime, you get a solid Supe.",,,False,True,V,0.0714285714285714,0.4,0.7093414338307898,0.748291015625,11,0.6435196801777735,0.946977972984314,0.8103580351242428,1.0,False
57,anywhere,0.104248046875,7,"They're trying to stabilize the V. Anywhere, anytime, you get a solid Supe.",26.66,27.14,False,True,überall,0.0,0.2,0.7093414338307898,0.9999464154243468,11,0.6435196801777735,0.946977972984314,0.2817610249196484,0.0,False
58,anytime,0.21337890625,8,"They're trying to stabilize the V. Anywhere, anytime, you get a solid Supe.",27.62,27.62,False,True,jeder Zeit,0.0,1.0,0.7093414338307898,0.2919921875,11,0.6435196801777735,0.946977972984314,0.0,0.0,False
59,you,0.07470703125,9,"They're trying to stabilize the V. Anywhere, anytime, you get a solid Supe.",27.62,27.84,False,True,man,0.0714285714285714,0.0,0.7093414338307898,0.9952534958720208,11,0.6435196801777735,0.946977972984314,0.0,1.0,False
60,get,0.087890625,10,"They're trying to stabilize the V. Anywhere, anytime, you get a solid Supe.",27.84,27.98,False,True,bekommt,0.0,0.0,0.7093414338307898,0.06884765625,11,0.6435196801777735,0.946977972984314,0.0,0.0,True
61,a,0.18701171875,11,"They're trying to stabilize the V. Anywhere, anytime, you get a solid Supe.",27.98,28.18,False,True,ein,0.0714285714285714,0.0,0.7093414338307898,0.96978759765625,11,0.6435196801777735,0.946977972984314,0.0,1.0,False
62,solid,0.03564453125,12,"They're trying to stabilize the V. Anywhere, anytime, you get a solid Supe.",28.18,28.32,False,True,solides,0.0,0.4,0.7093414338307898,0.0703125,11,0.6435196801777735,0.946977972984314,0.0,0.0,True
63,supe,1.0,13,"They're trying to stabilize the V. Anywhere, anytime, you get a solid Supe.",,,False,True,Supe,0.0,0.6,0.7093414338307898,0.51220703125,11,0.6435196801777735,0.946977972984314,0.0,0.0,True
64,why,0.19677734375,1,Why would Vought do that?,28.82,28.96,False,True,Warum,0.0,0.0,0.4970743990507571,0.05859375,12,0.7263516699190136,1.3562238216400146,0.0,0.0,False
65,would,0.06396484375,2,Why would Vought do that?,28.96,29.1,False,True,sollte,0.0,0.0,0.4970743990507571,0.695556640625,12,0.7263516699190136,1.3562238216400146,0.0,0.0,False
66,vought,1.0,3,Why would Vought do that?,,,False,True,Vought,0.0714285714285714,1.0,0.4970743990507571,0.9999999999427516,12,0.7263516699190136,1.3562238216400146,0.0,1.0,False
67,do,0.0185546875,4,Why would Vought do that?,29.22,29.44,False,True,tun,0.0714285714285714,0.0,0.4970743990507571,0.4853515625,12,0.7263516699190136,1.3562238216400146,0.0,1.0,False
68,that,0.00146484375,5,Why would Vought do that?,29.44,29.66,False,True,tun,0.0714285714285714,0.2,0.4970743990507571,0.697021484375,12,0.7263516699190136,1.3562238216400146,0.0,1.0,False
69,we,0.02734375,1,We are in a war.,29.82,29.84,False,True,Wir,0.0714285714285714,0.0,0.4796800489855879,0.203125,13,0.7549149868676278,1.6784249544143677,0.0,1.0,False
70,are,0.05517578125,2,We are in a war.,29.84,30.02,False,True,befinden,0.1428571428571428,0.0,0.4796800489855879,0.37109375,13,0.7549149868676278,1.6784249544143677,0.0,2.0,False
71,in,0.015625,3,We are in a war.,30.02,30.16,False,True,in,0.0,0.2,0.4796800489855879,0.61962890625,13,0.7549149868676278,1.6784249544143677,0.0,0.0,False
72,a,0.05615234375,4,We are in a war.,30.16,30.28,False,True,einem,0.1428571428571428,0.0,0.4796800489855879,0.531982421875,13,0.7549149868676278,1.6784249544143677,0.0,2.0,False
73,war,0.01318359375,5,We are in a war.,30.28,30.62,False,True,Krieg,0.0,0.0,0.4796800489855879,0.9930496215820312,13,0.7549149868676278,1.6784249544143677,0.0,0.0,False
74,for,0.2255859375,1,For the culture.,31.1,31.52,False,True,Für,0.0,0.2,0.3763625394833629,0.9951248168945312,14,0.4389033273071941,1.135695219039917,0.0,0.0,False
75,the,0.00732421875,2,For the culture.,31.52,31.68,False,True,die,0.2142857142857142,0.0,0.3763625394833629,0.9007568359375,14,0.4389033273071941,1.135695219039917,0.0,3.0,False
76,culture,0.0302734375,3,For the culture.,31.68,32.24,False,True,Kultur,0.0,0.0,0.3763625394833629,0.9999704957008362,14,0.4389033273071941,1.135695219039917,0.0,0.0,False
77,but,0.43408203125,1,But we can fight back with an army of supermen millions strong.,32.8,32.8,False,True,Aber,0.0,0.2,0.6387008214658727,0.7891845703125,15,0.4926113753197433,1.1712844371795654,0.5759546068062869,0.0,False
78,we,0.02001953125,2,But we can fight back with an army of supermen millions strong.,32.8,32.94,False,True,wir,0.1428571428571428,0.0,0.6387008214658727,0.71875,15,0.4926113753197433,1.1712844371795654,0.035909693189327,2.0,False
79,can,0.001953125,3,But we can fight back with an army of supermen millions strong.,32.94,33.1,False,True,können,0.0,0.2,0.6387008214658727,0.7864990234375,15,0.4926113753197433,1.1712844371795654,0.0,0.0,False
80,fight,0.00390625,4,But we can fight back with an army of supermen millions strong.,33.1,33.46,False,True,kämpfen,0.0,0.2,0.6387008214658727,0.30419921875,15,0.4926113753197433,1.1712844371795654,0.4407013212495204,0.0,False
81,back,0.001953125,5,But we can fight back with an army of supermen millions strong.,33.46,33.82,False,True,zurück,0.0,0.2,0.6387008214658727,0.783447265625,15,0.4926113753197433,1.1712844371795654,0.0,0.0,False
82,with,0.005859375,6,But we can fight back with an army of supermen millions strong.,33.82,34.06,False,True,mit,0.0,0.0,0.6387008214658727,0.3193359375,15,0.4926113753197433,1.1712844371795654,0.0,0.0,False
83,an,0.005859375,7,But we can fight back with an army of supermen millions strong.,34.06,34.14,False,True,einer,0.0,0.0,0.6387008214658727,0.11376953125,15,0.4926113753197433,1.1712844371795654,0.0,0.0,False
84,army,0.1259765625,8,But we can fight back with an army of supermen millions strong.,34.14,34.72,False,True,Armee,0.0,0.4,0.6387008214658727,0.0185546875,15,0.4926113753197433,1.1712844371795654,0.0,0.0,False
85,of,0.00146484375,9,But we can fight back with an army of supermen millions strong.,34.72,34.9,False,True,von,0.0,0.0,0.6387008214658727,0.00244140625,15,0.4926113753197433,1.1712844371795654,0.0,0.0,False
86,supermen,1.0,10,But we can fight back with an army of supermen millions strong.,,,False,True,Supermännern,0.0,0.0,0.6387008214658727,0.9999999734933454,15,0.4926113753197433,1.1712844371795654,0.0,0.0,False
87,millions,1.0,11,But we can fight back with an army of supermen millions strong.,36.26,36.26,False,True,Millionen,0.0,0.2,0.6387008214658727,0.999558448791504,15,0.4926113753197433,1.1712844371795654,0.3555114988571527,0.0,False
88,strong,0.1669921875,12,But we can fight back with an army of supermen millions strong.,36.26,36.86,False,True,stark,0.0,0.0,0.6387008214658727,0.7584228515625,15,0.4926113753197433,1.1712844371795654,0.0,0.0,False
89,everyone,0.2724609375,1,Everyone I have ever loved is in the ground.,37.84,38.18,False,True,Jeder,0.0,0.0,0.5726956766205189,0.9785003662109376,16,0.6963948235799803,1.1257884502410889,0.0,0.0,False
90,i,0.02001953125,2,Everyone I have ever loved is in the ground.,38.18,38.42,False,True,ich,0.0714285714285714,0.0,0.5726956766205189,0.693115234375,16,0.6963948235799803,1.1257884502410889,0.0,1.0,False
91,have,0.013671875,3,Everyone I have ever loved is in the ground.,38.42,38.54,False,True,habe,0.0,0.0,0.5726956766205189,0.524658203125,16,0.6963948235799803,1.1257884502410889,0.0,0.0,False
92,ever,0.54541015625,4,Everyone I have ever loved is in the ground.,38.54,38.74,False,True,jemals,0.0,0.2,0.5726956766205189,0.041015625,16,0.6963948235799803,1.1257884502410889,0.0,0.0,False
93,loved,0.07470703125,5,Everyone I have ever loved is in the ground.,38.74,39.08,False,True,geliebt,0.0,0.0,0.5726956766205189,0.93170166015625,16,0.6963948235799803,1.1257884502410889,0.0,0.0,False
94,is,0.30712890625,6,Everyone I have ever loved is in the ground.,39.08,39.28,False,True,ist,0.0,0.0,0.5726956766205189,0.70263671875,16,0.6963948235799803,1.1257884502410889,0.0,0.0,False
95,in,0.03466796875,7,Everyone I have ever loved is in the ground.,39.28,39.4,False,True,im,0.0714285714285714,0.2,0.5726956766205189,0.7542724609375,16,0.6963948235799803,1.1257884502410889,0.0,1.0,False
96,the,0.22705078125,8,Everyone I have ever loved is in the ground.,39.4,39.5,False,True,die,0.2857142857142857,0.0,0.5726956766205189,0.0615234375,16,0.6963948235799803,1.1257884502410889,0.0,4.0,False
97,ground,0.01708984375,9,Everyone I have ever loved is in the ground.,39.5,39.96,False,True,Boden,0.0,0.0,0.5726956766205189,0.9977817535400392,16,0.6963948235799803,1.1257884502410889,0.0,0.0,False
98,and,0.01416015625,1,And then I found you.,41.5,41.58,False,True,Und,0.0714285714285714,0.0,0.4796809694432543,0.16357421875,17,0.5780600656436254,0.7079392671585083,0.0,1.0,False
99,then,0.005859375,2,And then I found you.,41.58,41.7,False,True,dann,0.0,0.0,0.4796809694432543,0.5205078125,17,0.5780600656436254,0.7079392671585083,0.0,0.0,False
100,i,0.03125,3,And then I found you.,41.7,41.82,False,True,i,0.1428571428571428,0.0,0.4796809694432543,0.3232421875,17,0.5780600656436254,0.7079392671585083,0.0,2.0,False
101,found,0.01025390625,4,And then I found you.,41.82,42.2,False,True,gefunden,0.0,0.6,0.4796809694432543,0.90081787109375,17,0.5780600656436254,0.7079392671585083,0.0,0.0,False
102,you,0.0029296875,5,And then I found you.,42.2,42.58,False,True,dich,0.1428571428571428,0.0,0.4796809694432543,0.93243408203125,17,0.5780600656436254,0.7079392671585083,0.0297359766286677,2.0,False
103,we,0.0078125,1,We found each other.,43.4,43.56,False,True,Wir,0.2142857142857142,0.0,0.4488509042886623,0.8304443359375,18,0.5886749936147226,0.8516507148742676,0.0,3.0,False
104,found,0.0068359375,2,We found each other.,43.56,43.92,False,True,gefunden,0.0714285714285714,0.6,0.4488509042886623,0.975250244140625,18,0.5886749936147226,0.8516507148742676,0.0,1.0,False
105,each,0.04248046875,3,We found each other.,43.92,44.16,False,True,jeweils,0.0,0.0,0.4488509042886623,0.02001953125,18,0.5886749936147226,0.8516507148742676,0.0,0.0,False
106,other,0.00439453125,4,We found each other.,44.16,44.46,False,True,Sonstige,0.0,0.2,0.4488509042886623,0.080078125,18,0.5886749936147226,0.8516507148742676,0.0,0.0,False
107,30,1.0,1,30% of the public is hard-core aware now and know how the system works.,,,True,True,30,0.0,0.0,0.6899249132986852,0.98553466796875,19,0.6161448629429074,0.5,0.5197449807105865,,True
108,of,1.0,2,30% of the public is hard-core aware now and know how the system works.,,,False,True,,0.0714285714285714,0.0,0.6899249132986852,0.14404296875,19,0.6161448629429074,0.5,0.5197449807105865,1.0,False
109,the,1.0,3,30% of the public is hard-core aware now and know how the system works.,,,False,True,der,0.3571428571428571,0.0,0.6899249132986852,0.01318359375,19,0.6161448629429074,0.5,0.5197449807105865,5.0,False
110,public,1.0,4,30% of the public is hard-core aware now and know how the system works.,,,False,True,Öffentlichkeit,0.0,0.2,0.6899249132986852,0.07568359375,19,0.6161448629429074,0.5,0.5197449807105865,0.0,False
111,is,1.0,5,30% of the public is hard-core aware now and know how the system works.,,,False,True,sind,0.0714285714285714,0.0,0.6899249132986852,0.96356201171875,19,0.6161448629429074,0.5,0.5197449807105865,1.0,False
112,hard-core,1.0,6,30% of the public is hard-core aware now and know how the system works.,,,False,True,Hardcore,0.0,0.0,0.6899249132986852,0.7431640625,19,0.6161448629429074,0.5,0.5197449807105865,0.0,True
113,aware,1.0,7,30% of the public is hard-core aware now and know how the system works.,,,False,True,bewusst,0.0,0.4,0.6899249132986852,0.967681884765625,19,0.6161448629429074,0.5,0.5197449807105865,0.0,True
